row_idx	labels
0	12=1;13=1;16=1;36=1;41=1;51=1;107=1;176=0.5
1	12=1;21=1;41=1;51=1;96=1;107=1;197=1
2	16=1;21=1;30=0.5;60=0.5;62=1;176=0.5;198=0.5
3	7=1;16=1;20=1;21=1;51=1;73=1
4	24=1;28=1;37=0.5;41=1;78=1;107=1;176=1
5	25=1;30=1;41=1;93=1;107=1;135=1
6	12=1;19=1;39=1;44=1;51=1;231=1
7	24=1;25=1;29=0.5;62=1;130=1
8	12=1;21=0.5;39=1;100=0.5;193=1
9	12=1;22=1;44=1;95=0.5;197=0.5
10	15=1;36=1;51=1;200=1
11	36=1;51=1;72=1;200=1
12	15=0.5;36=1;123=0.5;200=1
13	15=1;36=1;55=1;200=1
14	1=1;2=1;42=1;110=1;168=1
15	4=0.5;21=0.5;46=0.5;110=1
16	4=1;29=1;51=1;120=1
17	4=1;8=1;29=1;65=0.5;110=1
18	5=1;12=1;70=0.5;71=1;94=1;110=1
19	20=1;46=1;65=1;110=1;150=0.5
20	22=1;28=1;62=1;100=0.5;101=1;110=1
21	24=1;28=1;42=1;59=1;68=1;102=1
22	39=1;97=0.5;125=1
23	39=1;97=1
24	22=1;23=1;39=1;97=1;145=0.5
25	39=1;68=1;97=1;193=1
26	4=1;5=1;39=1;57=0.5;97=1;193=1
27	4=1;39=1;97=1;193=1
28	12=1;13=1;21=1;39=1;70=1;97=1
29	18=1;19=1;21=1;57=1;97=1;123=1
30	28=1;39=1;97=1;193=1
31	12=1;21=1;39=1;97=1
32	24=1;25=0.5;39=1;77=1;97=1
33	2=0.5;38=1;116=1
34	4=1;8=0.5;38=1;116=1
35	38=1;116=1
36	1=1;2=1;125=1;189=1
37	4=1;5=1;201=1
38	3=1;62=1;119=1;171=0.5;201=1
39	4=1;23=1;119=0.5
40	5=0.5;87=1;119=0.5
41	61=1;62=1;63=1;119=1;190=1
42	1=1;62=1;119=1;190=1
43	12=1;50=1;51=1;72=1;119=1;146=0.5;201=1
44	2=0.5;7=0.5;44=1;106=1;186=1;202=1
45	4=1;5=1;7=0.5;106=1;202=1
46	12=1;51=1;106=1;148=1;202=1
47	12=1;19=1;22=1;44=1;106=1;202=1
48	17=1;18=1;20=1;21=1;51=1;106=1;202=1
49	17=1;21=1;44=1;106=1;202=1
50	28=1;78=1;106=1;202=1
51	12=1;35=1;36=1;51=1;61=1;118=1;140=1
52	23=1;138=1;140=1
53	12=1;26=1;34=1;35=1;76=0.5;138=1;140=1;180=0.5
54	20=1;21=1;138=1;140=1
55	26=1;28=1;36=1;77=1
56	24=1;26=1;28=1;34=1;35=1;76=1
57	1=1;2=1;42=0.5;103=1;104=0.5
58	4=1;7=1;67=0.5;73=0.5;103=1;104=0.5
59	20=1;36=1;44=1;53=0.5;107=0.5;125=1
60	4=1;7=1;20=1;73=1
61	12=1;51=1;70=1;71=1;93=1
62	12=1;21=1;24=1;30=1;51=1;67=1;73=1;93=1;107=0.5
63	28=1;30=1;77=1;93=1;103=1;104=0.5
64	24=1;28=1;73=1;103=1;177=0.5
65	39=1;125=1;146=0.5;195=1;201=0.5
66	4=1;5=1;39=1;195=1;204=0.5;234=1
67	12=1;13=1;39=1;51=1;67=1;146=1;195=1;204=1
68	17=1;21=1;58=1;68=1;146=1;187=0.5;195=1;204=1
69	190=1;195=1;204=1;234=1
70	28=0.5;195=1;216=1
71	12=1;19=1;44=1;51=1;106=1;202=1
72	19=1;44=1;57=0.5;106=1;202=1;231=1
73	17=1;18=1;47=1;106=1;123=1;202=1
74	12=1;21=1;44=1;202=1;215=0.5
75	6=1;12=1;19=1;20=1;21=1;51=1;94=1;106=1;159=1;197=1;202=1
76	24=1;28=1;31=1;73=1;78=1;202=1
77	28=1;55=1;73=1;202=1
78	28=1;30=1;55=1;202=1;231=0.5
79	4=1;36=1;61=1;118=1
80	30=1;36=1;39=1;61=1;98=1;118=1;197=1
81	12=1;21=1;36=1;39=1;51=1;97=0.5;198=1
82	24=0.5;36=1;44=0.5;51=1;68=1;127=1;129=0.5;198=0.5
83	28=1;36=1;68=1;77=0.5;78=1
84	14=0.5;36=1;37=1;44=1;78=1;81=1;149=0.5;150=0.5
